iso_ts,seq,temperature_c,humidity_pct,gas_ppm,motion,range_cm,ir_left,ir_right,pan_angle,tilt_angle,fw_state,uptime_ms,lat,lon,gps_fix,gps_sats,serial_ok,ws_clients,turn_status,alert_flags
2026-09-25T18:37:39.066+00:00,278,0,0,278,0,400,0,0,90,90,2,57034,,,0,0,1,1,unavailable,128
2026-09-25T18:37:40.094+00:00,283,0,0,277,0,400,0,0,90,90,2,58035,,,0,0,1,1,unavailable,128
2026-09-25T18:37:41.095+00:00,288,0,0,277,0,400,0,0,90,90,1,59034,,,0,0,1,1,unavailable,128
2026-09-25T18:37:42.097+00:00,293,0,0,277,0,400,0,0,90,90,1,60036,,,0,0,1,1,unavailable,128
2026-09-25T18:37:43.099+00:00,298,0,0,277,0,400,0,0,90,90,1,61035,,,0,0,1,1,unavailable,128
2026-09-25T18:37:44.186+00:00,303,0,0,275,0,400,0,0,90,90,1,62036,,,0,0,1,1,unavailable,128
2026-09-25T18:37:45.324+00:00,309,0,0,275,0,400,0,0,90,90,2,63035,,,0,0,1,1,unavailable,128
2026-09-25T18:37:46.332+00:00,314,0,0,275,0,400,0,0,90,90,2,64037,,,0,0,1,1,unavailable,128
2026-09-25T18:37:47.584+00:00,320,0,0,275,0,400,0,0,90,90,2,65536,,,0,0,1,1,unavailable,128
2026-09-25T18:37:48.589+00:00,325,0,0,279,0,400,0,0,90,90,1,66539,,,0,0,1,1,unavailable,128
2026-09-25T18:37:49.591+00:00,330,0,0,279,0,400,0,0,90,90,2,67539,,,0,0,1,1,unavailable,128
2026-09-25T18:37:50.597+00:00,335,0,0,278,0,400,0,0,90,90,1,68540,,,0,0,1,1,unavailable,128
2026-09-25T18:37:51.598+00:00,340,0,0,278,0,400,0,0,90,90,1,69540,,,0,0,1,1,unavailable,128
2026-09-25T18:37:52.600+00:00,345,0,0,276,0,400,0,0,90,90,2,70540,,,0,0,1,1,unavailable,128
2026-09-25T18:37:53.734+00:00,351,0,0,276,0,400,0,0,90,90,2,71540,,,0,0,1,1,unavailable,128
2026-09-25T18:37:54.998+00:00,357,0,0,276,0,400,0,0,90,90,2,73041,,,0,0,1,1,unavailable,128
2026-09-25T18:37:56.001+00:00,362,0,0,275,0,400,0,0,90,90,2,74043,,,0,0,1,1,unavailable,128
2026-09-25T18:37:57.005+00:00,367,0,0,275,0,400,0,0,90,90,1,75042,,,0,0,1,1,unavailable,128
2026-09-25T18:37:58.009+00:00,372,0,0,275,0,400,0,0,90,90,1,76044,,,0,0,1,1,unavailable,128
2026-09-25T18:37:59.013+00:00,377,0,0,275,0,400,0,0,90,90,1,77045,,,0,0,1,1,unavailable,128
2026-09-25T18:38:00.134+00:00,383,0,0,275,0,400,0,0,90,90,1,78045,,,0,0,1,1,unavailable,128
2026-09-25T18:38:01.134+00:00,388,0,0,275,0,400,0,0,90,90,1,79044,,,0,0,1,1,unavailable,128
2026-09-25T18:38:02.136+00:00,393,0,0,276,0,400,0,0,90,90,1,80046,,,0,0,1,1,unavailable,128
2026-09-25T18:38:03.354+00:00,399,0,0,276,0,400,0,0,90,90,1,81045,,,0,0,1,1,unavailable,128
2026-09-25T18:38:04.357+00:00,404,0,0,276,0,400,0,0,90,90,1,82045,,,0,0,1,1,unavailable,128
2026-09-25T18:38:05.357+00:00,409,0,0,276,0,400,0,0,90,90,1,83045,,,0,0,1,1,unavailable,128
2026-09-25T18:38:06.371+00:00,414,0,0,276,0,400,0,0,90,90,1,84047,,,0,0,1,1,unavailable,128
2026-09-25T18:38:07.633+00:00,420,0,0,276,0,400,0,0,90,90,1,85548,,,0,0,1,1,unavailable,128
2026-09-25T18:38:08.757+00:00,426,0,0,276,0,400,0,0,90,90,1,86547,,,0,0,1,1,unavailable,128
2026-09-25T18:38:09.767+00:00,431,0,0,276,0,400,0,0,90,90,1,87547,,,0,0,1,1,unavailable,128
2026-09-25T18:38:11.037+00:00,437,0,0,275,0,400,0,0,90,90,1,89048,,,0,0,1,1,unavailable,128
2026-09-25T18:38:12.038+00:00,442,0,0,276,0,400,0,0,90,90,1,90050,,,0,0,1,1,unavailable,128
2026-09-25T18:38:13.042+00:00,447,0,0,276,0,400,0,0,90,90,1,91051,,,0,0,1,1,unavailable,128
2026-09-25T18:38:14.044+00:00,452,0,0,276,0,400,0,0,90,90,1,92051,,,0,0,1,1,unavailable,128
2026-09-25T18:38:15.048+00:00,457,0,0,276,0,400,0,0,90,90,1,93050,,,0,0,1,1,unavailable,128
2026-09-25T18:38:16.051+00:00,462,0,0,276,0,400,0,0,90,90,1,94052,,,0,0,1,1,unavailable,128
2026-09-25T18:38:17.053+00:00,467,0,0,276,0,400,0,0,90,90,1,95051,,,0,0,1,1,unavailable,128
2026-09-25T18:38:18.055+00:00,472,0,0,276,0,400,0,0,90,90,1,96053,,,0,0,1,1,unavailable,128
2026-09-25T18:38:19.056+00:00,477,0,0,276,0,400,0,0,90,90,1,97053,,,0,0,1,1,unavailable,128
2026-09-25T18:38:20.058+00:00,482,0,0,277,0,400,0,0,90,90,2,98054,,,0,0,1,1,unavailable,128
2026-09-25T18:38:21.062+00:00,487,0,0,277,0,400,0,0,90,90,2,99054,,,0,0,1,1,unavailable,128
2026-09-25T18:38:22.063+00:00,492,0,0,278,0,400,0,0,90,90,2,100054,,,0,0,1,1,unavailable,128
2026-09-25T18:38:23.064+00:00,497,0,0,278,0,400,0,0,90,90,2,101054,,,0,0,1,1,unavailable,128
2026-09-25T18:38:24.067+00:00,502,0,0,277,0,400,0,0,90,90,2,102055,,,0,0,1,1,unavailable,128
2026-09-25T18:38:25.174+00:00,508,0,0,277,0,400,0,0,90,90,2,103054,,,0,0,1,1,unavailable,128
2026-09-25T18:38:26.180+00:00,513,0,0,276,0,400,0,0,90,90,2,104056,,,0,0,1,1,unavailable,128
2026-09-25T18:38:27.184+00:00,518,0,0,276,0,400,0,0,90,90,1,105055,,,0,0,1,1,unavailable,128
2026-09-25T18:38:28.187+00:00,523,0,0,275,0,400,0,0,90,90,1,106057,,,0,0,1,1,unavailable,128
2026-09-25T18:38:29.190+00:00,528,0,0,275,0,400,0,0,90,90,1,107056,,,0,0,1,1,unavailable,128
2026-09-25T18:38:30.191+00:00,533,0,0,276,0,400,0,0,90,90,1,108058,,,0,0,1,1,unavailable,128
2026-09-25T18:38:31.417+00:00,539,0,0,276,0,400,0,0,90,90,1,109057,,,0,0,1,1,unavailable,128
2026-09-25T18:38:32.421+00:00,544,0,0,276,0,400,0,0,90,90,1,110059,,,0,0,1,1,unavailable,128
2026-09-25T18:38:33.586+00:00,550,0,0,276,0,400,0,0,90,90,1,111558,,,0,0,1,1,unavailable,128
2026-09-25T18:38:34.589+00:00,555,0,0,275,0,400,0,0,90,90,1,112560,,,0,0,1,1,unavailable,128
2026-09-25T18:38:35.591+00:00,560,0,0,275,0,400,0,0,90,90,1,113559,,,0,0,1,1,unavailable,128
2026-09-25T18:38:36.606+00:00,565,0,0,276,0,400,0,0,90,90,1,114561,,,0,0,1,1,unavailable,128
2026-09-25T18:38:37.825+00:00,571,0,0,276,0,400,0,0,90,90,1,115560,,,0,0,1,1,unavailable,128
2026-09-25T18:38:38.951+00:00,577,0,0,275,0,400,0,0,90,90,1,116562,,,0,0,1,1,unavailable,128
